"","ID","ADM0_NAME","ADM0_CODE","Admin1","ADM1_CODE","ADM2_NAME","ADM2_CODE","year","age_group_id","age_group_name","sex_id","sex","measure_id","measure","mean","lower","upper"
"192","Democratic Republic of the Congo_Lodja","Democratic Republic of the Congo",47,"Sankuru",21047,"Lodja",4021047,2017,28,"Infant",3,"Both",27,"Probability of death",0.071,0.0474251538301215,0.0991815363493214
"193","Nigeria_Baure","Nigeria",164,"Katsina",21164,"Baure",4021164,2017,28,"Infant",3,"Both",27,"Probability of death",0.085,0.0652420638995203,0.105097035789358
"194","Nigeria_Augie","Nigeria",164,"Kebbi",22164,"Augie",4022164,2017,28,"Infant",3,"Both",27,"Probability of death",0.073,0.0578413743040494,0.0901393337194913
"195","Nigeria_Borgu","Nigeria",164,"Niger",27164,"Borgu",4027164,2017,28,"Infant",3,"Both",27,"Probability of death",0.075,0.0591274022137264,0.0914567902002783
"196","Nigeria_Bukkuyum","Nigeria",164,"Zamfara",37164,"Bukkuyum",4037164,2017,28,"Infant",3,"Both",27,"Probability of death",0.097,0.0787140727181911,0.117751383676265
"197","Sierra Leone_Tonkolili","Sierra Leone",200,"Northern",2200,"Tonkolili",5002200,2017,28,"Infant",3,"Both",27,"Probability of death",0.072,0.0590822005397668,0.0853027771721175
"198","Mali_Kita","Mali",146,"Kayes",3146,"Kita",5003146,2017,28,"Infant",3,"Both",27,"Probability of death",0.073,0.0577037498112444,0.0936175708039027
"199","Liberia_Tewor","Liberia",127,"Grand Cape Mount",4127,"Tewor",5004127,2017,28,"Infant",3,"Both",27,"Probability of death",0.072,0.0566832150496,0.0887302921899697
"200","Somalia_Qandala","Somalia",203,"Bari",4203,"Qandala",5004203,2017,28,"Infant",3,"Both",27,"Probability of death",0.071,0.0370688697103014,0.12087647777624
"201","Democratic Republic of the Congo_Djugu","Democratic Republic of the Congo",47,"Ituri",6047,"Djugu",5006047,2017,28,"Infant",3,"Both",27,"Probability of death",0.076,0.0537765194357314,0.100948131434915
