name,status,shortname,homepage,url,lat,long
ONG Karkara,active,ONG Karkara,https://www.ongkarkara.org,https://reliefweb.int/taxonomy/term/51609,13.392128258149212,7.610921699423559
Coalition citoyenne pour le Sahel,active,Coalition citoyenne pour le Sahel,https://www.sahelpeoplescoalition.org/,https://reliefweb.int/taxonomy/term/51135,12.06342830137239,-26.354907731243127
AACCES Support en Développement,active,AACCES,https://www.aacces-group.com/,https://reliefweb.int/taxonomy/term/51053,13.535674390487534,2.101464114828045
UN Country Team in Niger,active,UNCT Niger,https://niger.un.org/,https://reliefweb.int/taxonomy/term/50302,37.599999999999994,-95.665
Office of the Special Coordinator for Development in the Sahel,active,OSCDS,https://unis-sahel.org/,https://reliefweb.int/taxonomy/term/51416,12.06342830137239,-26.354907731243127
UN Integrated Strategy for the Sahel,active,UNISS,https://unis-sahel.org,https://reliefweb.int/taxonomy/term/51412,12.06342830137239,-26.354907731243127
Mo Ibrahim Foundation,active,MIF,http://mo.ibrahim.foundation/,https://reliefweb.int/taxonomy/term/49058,37.599999999999994,-95.665
UN Office for West Africa and the Sahel,active,UNOWAS,http://unowas.unmissions.org/,https://reliefweb.int/taxonomy/term/37996,14.75003498970745,-17.511238685157934
UN Resident Coordinator in Senegal,active,UN RC Senegal,https://senegal.un.org/fr/about/about-the-resident-coordinator-office,https://reliefweb.int/taxonomy/term/22451,14.73964978971402,-17.517445985158115
Croix-Rouge Sénégalaise,active,Croix-Rouge Sénégalaise,https://www.ifrc.org/fr/national-societies-directory/croix-rouge-senegalaise,https://reliefweb.int/taxonomy/term/11226,14.67969579412538,-17.47053482721495
